MA1,MA2,CAGR (%),MDD (%),Sharpe,Switches
110,250,16.148731598755184,-22.83574517565764,0.9420532011075377,36
120,250,16.062911724368355,-22.83574517565765,0.9351304825009421,35
140,250,15.938100979999836,-22.835745175657685,0.9264077043606883,35
130,250,15.833525894354672,-22.83574517565765,0.9181099379178493,37
80,250,15.815927393198592,-22.83574517565764,0.9165551706638435,39
90,250,15.748354247316488,-22.83574517565764,0.9113661369532318,39
100,250,15.748354247316488,-22.83574517565764,0.9113661369532318,39
70,250,15.729975530024,-22.835745175657618,0.9089477143807805,40
110,230,15.748895978239608,-22.835745175657618,0.9058253363950179,42
60,250,15.66773574970477,-23.368334257719525,0.90508099250618,38
50,250,15.626023873713057,-23.664802406968832,0.9018715453148469,40
120,230,15.686864704850745,-22.83574517565765,0.900842104353694,41
160,250,15.694954040386676,-25.35254687430185,0.9003133107012748,37
170,250,15.667054377411782,-25.35254687430185,0.898014198425347,39
140,230,15.639839649154874,-22.835745175657628,0.8979822660618564,41
110,220,15.573547679543577,-22.83574517565765,0.8912519274724421,44
130,230,15.535533592448036,-22.83574517565765,0.8897608639237805,43
80,230,15.494521490515712,-22.835745175657628,0.8863635027297307,45
120,220,15.511610377489383,-22.83574517565765,0.8862854584583756,43
140,220,15.464656560170686,-22.83574517565764,0.8834213360622388,43
150,250,15.429828649509659,-25.35254687430185,0.8815085804195671,37
100,230,15.427135869859555,-22.835745175657628,0.8812178428981039,45
90,230,15.427135869859555,-22.835745175657628,0.8812178428981039,45
180,250,15.415974933837152,-25.35254687430185,0.8797193932307505,39
190,250,15.415974933837152,-25.35254687430185,0.8797193932307505,39
170,230,15.457636370772288,-25.35254687430184,0.8767129299277929,45
130,220,15.3605085169761,-22.83574517565765,0.8752251607277576,45
160,230,15.397318227203094,-25.35254687430184,0.872353128838549,43
110,240,15.267143735443845,-22.835745175657664,0.868716137908966,38
70,230,15.245728300918904,-22.83574517565764,0.8673723573722891,44
90,220,15.25227500637496,-22.83574517565764,0.8667083795779001,47
100,220,15.25227500637496,-22.83574517565764,0.8667083795779001,47
80,220,15.25227500637496,-22.83574517565764,0.8667083795779001,47
120,240,15.205370639075277,-22.835745175657628,0.863761328299411,37
140,240,15.158541303829743,-22.835745175657618,0.8608852505538261,37
190,230,15.207011512618518,-25.35254687430184,0.8585306017221359,45
180,230,15.207011512618518,-25.35254687430184,0.8585306017221359,45
150,230,15.132874895556437,-25.352546874301872,0.8536505738343916,43
200,250,15.095730174508958,-25.35254687430185,0.8532566651824716,41
130,240,15.054669373741003,-22.835745175657628,0.852705035067854,39
60,230,15.029167596780946,-23.368334257719514,0.8505447876398073,44
80,240,15.013827966068206,-22.83574517565764,0.8493307660557017,41
70,220,15.004003653439124,-22.83574517565764,0.8477750845967341,46
120,210,15.036546488884994,-22.835745175657628,0.8454820114397804,47
90,240,14.946722807472646,-22.83574517565764,0.8442048904160254,41
100,240,14.946722807472646,-22.83574517565764,0.8442048904160254,41
110,210,14.989008853829478,-22.83574517565765,0.8419098110117189,48
160,240,14.917029267220073,-25.35254687430182,0.8356256526125729,39
140,210,14.899133331897918,-22.83574517565765,0.8349388976276343,47
170,240,14.889317199626229,-25.35254687430182,0.8333659682302139,41
160,220,14.907970135582005,-25.352546874301794,0.8328079351095414,47
60,240,14.789798723531211,-23.368334257719436,0.8322143546100325,40
60,220,14.787897179237852,-23.7383634074409,0.8310051695392121,46
50,240,14.748403447498237,-23.66480240696881,0.8290458878842663,42
130,210,14.795495385380164,-22.835745175657628,0.8268408385194833,49
110,200,14.811711734926059,-22.83574517565764,0.8263583157136402,53
50,230,14.707072575611546,-23.6648024069688,0.8236090551668686,48
170,220,14.773508307099071,-25.35254687430186,0.8227277814793473,51
80,210,14.669361088391696,-22.835745175657628,0.8176068918639049,51
90,210,14.669361088391696,-22.835745175657628,0.8176068918639049,51
150,240,14.653686560914437,-25.35254687430183,0.8169423539520517,39
180,240,14.639925996656466,-25.35254687430182,0.8152270321467406,41
190,240,14.639925996656466,-25.35254687430182,0.8152270321467406,41
150,220,14.644648189091146,-25.35254687430183,0.8141650409237963,47
100,210,14.578961249545252,-22.835745175657628,0.8099823009742118,51
70,240,14.457480112242727,-22.835745175657618,0.8075518638984375,42
180,220,14.52436849146217,-25.35254687430186,0.8046332048334404,51
190,220,14.52436849146217,-25.35254687430186,0.8046332048334404,51
50,220,14.466477743242834,-24.03340000935109,0.8042044134272581,50
200,230,14.519481408224632,-25.35254687430185,0.8022726050196946,49
120,200,14.516516549686841,-22.835745175657628,0.801428811014694,48
70,210,14.422345422834336,-22.83574517565764,0.7988568406226473,50
90,200,14.387804586174369,-22.83574517565765,0.7943467124887628,58
80,200,14.387804586174369,-22.83574517565765,0.7943467124887628,58
160,210,14.449989965804688,-25.35254687430183,0.7937794862406655,51
170,210,14.446175966150232,-25.35254687430186,0.7936591811301541,55
200,240,14.321834540675237,-25.35254687430182,0.7892265220526049,43
100,200,14.297626713005517,-22.83574517565765,0.7867769275593547,58
110,190,14.26497510215925,-22.835745175657628,0.785093763147914,56
140,200,14.299472152854165,-22.835745175657628,0.7840130199519533,49
130,200,14.276555132847047,-22.835745175657628,0.7829799775833409,50
60,210,14.207331955010293,-23.738363407440875,0.7822657770107322,50
70,200,14.141395437180183,-22.83574517565764,0.7756781023345353,57
190,210,14.197746693567016,-25.35254687430186,0.7756741185856753,55
180,210,14.197746693567016,-25.35254687430186,0.7756741185856753,55
150,210,14.187717522056097,-25.35254687430184,0.7752362731405323,51
110,180,13.956318845160997,-22.835745175657628,0.7635335353802291,59
90,190,13.945231789917534,-22.835745175657664,0.7614823521380342,59
80,190,13.945231789917534,-22.835745175657664,0.7614823521380342,59
120,190,13.971185644777773,-22.835745175657607,0.7603771099576655,51
60,200,13.92690990846177,-23.73836340744092,0.7591668052110887,57
110,140,13.882105824647017,-24.834974072577943,0.7589199156865382,73
140,190,13.951731136638701,-22.83574517565764,0.7574913779947796,51
50,210,13.8875381690317,-24.0334000093511,0.7558607951716262,54
110,130,13.823684192381913,-24.83497407257802,0.7550883794897866,81
140,160,13.871795739102954,-25.342155116668717,0.7542386302881451,69
100,190,13.855402819969953,-22.835745175657664,0.7539573871973804,59
120,140,13.786275325377773,-25.558588443459207,0.7508415026759553,74
200,220,13.84091225046815,-25.35254687430183,0.7490487660567962,55
110,160,13.79172565097917,-25.212116126930294,0.7490000975511202,67
110,150,13.779682634096414,-24.805118143226935,0.7481273793525915,68
140,180,13.7970885197382,-22.83574517565764,0.7474830594691394,54
120,130,13.72790285425307,-25.558588443459197,0.7470098576435571,82
120,160,13.734281304883012,-25.342155116668696,0.7450795931864218,67
140,150,13.750882793174156,-25.52901993740464,0.7439988676520665,71
130,160,13.706183305717667,-25.342155116668796,0.7423656862230085,69
160,200,13.828553347981032,-25.35254687430186,0.7420676546456613,53
130,190,13.732366931021577,-22.835745175657607,0.7420132349496793,53
90,180,13.637439233925397,-22.835745175657607,0.7399044907251676,62
80,180,13.637439233925397,-22.835745175657607,0.7399044907251676,62
120,180,13.663322981391058,-22.83574517565765,0.7388703606417841,54
170,200,13.765294971946652,-25.35254687430184,0.7376588791380936,55
50,200,13.635304318326424,-24.03340000935108,0.7351514603971478,59
120,150,13.613514376457903,-25.52901993740464,0.7348432290232018,69
100,180,13.54785291290499,-22.835745175657607,0.7323950919123902,62
130,150,13.585446212703856,-25.529019937404662,0.7321437977338213,71
130,180,13.578022010825563,-22.83574517565765,0.7319778376889126,56
150,200,13.636692901906411,-25.35254687430186,0.7287343860913136,53
110,170,13.525611844302855,-24.31210879202944,0.728623515906349,62
170,180,13.573615186804112,-25.35254687430182,0.7230468575168892,63
200,210,13.526666173269941,-25.35254687430183,0.7215827680827658,61
70,190,13.417444148589762,-22.83574517565765,0.7213056749251663,61
190,200,13.518343693439473,-25.35254687430184,0.7198226513277628,55
180,200,13.518343693439473,-25.35254687430184,0.7198226513277628,55
100,140,13.359527660005256,-25.46102980227476,0.7186553445370532,76
160,190,13.519510727112817,-25.352546874301872,0.7186422307556759,55
130,140,13.377336593983413,-26.224437648344157,0.7186412045562524,80
170,190,13.515727735302963,-25.35254687430184,0.7185081748428309,59
90,140,13.348533840523169,-25.589993150179748,0.718430012449586,76
90,160,13.335263049057522,-25.96334688087373,0.7145220907250898,70
100,130,13.28223144923073,-25.461029802274695,0.7132365742187542,82
90,130,13.271245126080045,-25.58999315017977,0.7130074394551209,82
160,180,13.413249706050511,-25.352546874301886,0.7112693870969489,60
100,160,13.269562219669995,-25.835030609203624,0.7089295944137185,70
100,150,13.257574465355692,-25.431422545433392,0.7080587369144437,71
140,170,13.288296887100426,-24.443712688254315,0.7080435388336281,60
90,150,13.246590533485492,-25.560437118233857,0.7078235866836877,71
150,190,13.328171178944448,-25.352546874301872,0.7053135673988536,55
60,190,13.204319012166366,-23.738363407441,0.7048850843196245,61
120,170,13.20996566701995,-24.443712688254394,0.70332583866968,58
50,190,13.163495488771893,-24.03340000935107,0.7017798648767583,63
80,160,13.15993429171658,-26.38988884191731,0.7011702371592159,70
130,170,13.18199719977935,-24.443712688254415,0.7006610286607273,60
70,180,13.111077269693428,-22.835745175657628,0.6997246427484433,64
150,180,13.222089263091652,-25.352546874301886,0.6979316656557177,60
80,140,13.045196667022708,-26.018686086797505,0.6953106124355564,76
150,160,13.168357218635474,-25.35254687430184,0.6945855033396477,75
90,170,13.070216727735717,-25.072379956715054,0.6942172004219044,65
80,130,12.997980116181495,-26.01868608679746,0.6923237852987951,82
180,190,13.113821536779312,-25.35254687430184,0.6890299344844709,63
100,170,13.004669546583347,-24.942519509976513,0.6886529613897765,65
80,170,12.98126042993828,-25.032298968609968,0.6877305380052336,65
80,150,12.943526175111764,-25.9893003338593,0.6848119981342672,71
60,180,12.89852783380141,-23.738363407440875,0.6833074706207098,64
50,180,12.857814584232475,-24.03340000935108,0.6802018950873451,66
160,170,12.958813520931024,-25.35254687430184,0.6765498624516558,66
100,110,12.61173501341406,-23.185163118616735,0.6685962873403081,103
150,170,12.715868476635928,-25.35254687430184,0.6590556498012629,66
70,140,12.54835973424122,-26.480235447494028,0.6573210234156773,76
70,130,12.501350701516522,-26.480235447494106,0.6543144158895133,82
90,100,12.306240410941772,-24.048023758856452,0.6493415600473793,123
110,120,12.42516768154176,-25.70974458501961,0.6476739230765592,93
70,170,12.450686633589125,-25.130225058828582,0.6472275146930543,67
70,150,12.447136087104148,-26.451033024301907,0.647001498306993,71
90,110,12.321753134466729,-23.185163118616725,0.6469374735061824,103
70,160,12.365667799011781,-26.849122369260193,0.6408135283553428,72
60,160,12.327824247715679,-28.098064416967784,0.6365952266098848,71
50,160,12.314401251963304,-28.37623446016425,0.6356932181993852,71
50,110,12.113834469299189,-23.860031588237106,0.6340897174530314,95
60,170,12.239378151815504,-26.28908909565727,0.6309593883656099,67
80,110,12.104753523145062,-23.316941877672846,0.6309311312961817,103
60,150,12.239939943424115,-27.70677185337099,0.6299567641135974,72
50,150,12.226527449705781,-27.986455706570457,0.6290541782961833,72
50,170,12.198902603534801,-26.574257597785156,0.6278791842877318,69
100,120,12.132569858129493,-25.7097445850196,0.6254266559094954,90
50,140,12.149910455253888,-28.01504849423977,0.6253669580124243,75
60,140,12.089178626399955,-27.735475688775956,0.6208979304887733,77
50,130,11.971448940045226,-28.015048494239725,0.6127625122549493,80
60,130,11.873739710529074,-27.73547568877589,0.6049678836171521,83
70,110,11.73086896914115,-24.585141683067036,0.6043161543910238,101
90,120,11.828549122728415,-25.70974458501961,0.6023243428645983,92
80,100,11.682555256692705,-24.04802375885644,0.6022376562466296,121
60,110,11.594636748302767,-23.998751107455462,0.5929591142770765,100
70,100,11.497336440008588,-23.795346688029973,0.5884759203882146,113
80,120,11.612502355142418,-25.89938866571455,0.5864890083746198,92
50,100,11.469990408071663,-25.38620999992769,0.5851488435955949,109
50,120,11.260213357464988,-26.424188804722892,0.5675975463087465,93
60,120,11.11383184115191,-26.424188804722924,0.5559057640530082,96
60,100,10.909078663296423,-25.096427397310705,0.5406376200704495,114
70,120,10.911808597096172,-27.06371172666846,0.5348692788705035,94
